creative_network,Show name,creative type,variation,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,# ep,#N/A
COMB  Part 1,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 10,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 11,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 12,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 13,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 14,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 15,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 16,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 17,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 2,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 3,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 4,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 5,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 6,crushing on my bodygaurd,1 EP,none,,,,,,,,,
COMB  Part 8,crushing on my bodygaurd,1 EP,none,,,,,,,,,
Ext Video - CKW - Part 6 - High Points- V1 - 20/1,ceo ki wapsi,1 EP,variation,,,,,,,,,
Ext Video - CKW - Part 6 - High Points+Narration - V1 - 20/1,ceo ki wapsi,1 EP,variation,,,,,,,,,
Ext Video - CKW - Part 6 - Hook - V1 - 20/1,ceo ki wapsi,1 EP,variation,,,,,,,,,
Ext Video - CKW - Part 6 - Narration - V1 - 20/1,ceo ki wapsi,1 EP,variation,,,,,,,,,
Ext Video - CKW - Part 6 - Narration - V2 - 20/1,ceo ki wapsi,1 EP,variation,,,,,,,,,
Ext Video - DSDT - Part 12 - High Points - V1 - 19/1,dil se dil tak,1 EP,variation,,,,,,,,,
Ext Video - DSDT - Part 12 - Narration - V1 - 19/1,dil se dil tak,1 EP,variation,,,,,,,,,
Ext Video - DSDT - Part 18 - Narration - V1 - 19/1,dil se dil tak,1 EP,variation,,,,,,,,,
Ext Video - DSDT - Part 20 - Hook - V1 - 19/1,dil se dil tak,1 EP,variation,,,,,,,,,
Ext Video - DSDT - Part 25 - High Points - V1 - 19/1,dil se dil tak,1 EP,variation,,,,,,,,,
Ext Video - DSDT - Part 25 - Hook - V1 - 19/1,dil se dil tak,1 EP,variation,,,,,,,,,
Ext Video - DSDT - Part 27 - Hook+Narration - V1 - 19/1,dil se dil tak,1 EP,variation,,,,,,,,,
Ext Video - DSDT - Part 6 - High Points - V1 - 19/1,dil se dil tak,1 EP,variation,,,,,,,,,
Ext Video - DSDT - Part Mix - High Points - V1 - 19/1,dil se dil tak,Mix,variation,,,,,,,,,
Ext Video - DSDT - Part Mix - Hook+Narration - V1 - 19/1,dil se dil tak,Mix,variation,,,,,,,,,
Ext Video - MBHC - Part 13-15 - High Points - V1 - 21/1,maa beta aur hidden ceo,3 EP,variation,,,,,,,,,
Ext Video - MBHC - Part 13-15 - High Points - V2 - 21/1,maa beta aur hidden ceo,3 EP,variation,,,,,,,,,
Ext Video - MBHC - Part 13-15 - High Points - V3 - 21/1,maa beta aur hidden ceo,3 EP,variation,,,,,,,,,
Ext Video - MBHC - Part 13-15 - Hook - V1 - 21/1,maa beta aur hidden ceo,3 EP,variation,,,,,,,,,
Ext Video - MBHC - Part 13-15 - Hook - V2 - 21/1,maa beta aur hidden ceo,3 EP,variation,,,,,,,,,
Ext Video - MBHC - Part 13-15 - Hook - V3 - 21/1,maa beta aur hidden ceo,3 EP,variation,,,,,,,,,
Ext Video - MBHC - Part 13-15 - Narration - V1 - 21/1,maa beta aur hidden ceo,3 EP,variation,,,,,,,,,
Ext Video - MBHC - Part 13-15 - Narration - V2 - 21/1,maa beta aur hidden ceo,3 EP,variation,,,,,,,,,
Ext Video - MBHC - Part 13-15 - Narration - V3 - 21/1,maa beta aur hidden ceo,3 EP,variation,,,,,,,,,
Ext Video - MBHC - Part 13-15 - Narration - V4 - 21/1,maa beta aur hidden ceo,3 EP,variation,,,,,,,,,
Ext Video - MHYW - Part 8 - Cliff Hanger - V1 - 21/1,mr huo your wife,1 EP,variation,,,,,,,,,
Ext Video - MHYW - Part 8 - High Points - V1 - 21/1,mr huo your wife,1 EP,variation,,,,,,,,,
Ext Video - MHYW - Part 8 - Hook - V1 - 21/1,mr huo your wife,1 EP,variation,,,,,,,,,
Ext Video - MHYW - Part 8 - Narration - V1 - 21/1,mr huo your wife,1 EP,variation,,,,,,,,,
Ext Video - MHYW - Part 8 - Narration - V2 - 21/1,mr huo your wife,1 EP,variation,,,,,,,,,
Ext Video - PKPT - Part 32 - High Points - V1 - 20/1,pyaar ka price tag,1 EP,variation,,,,,,,,,
Ext Video - PKPT - Part 32 - High Points - V2 - 20/1,pyaar ka price tag,1 EP,variation,,,,,,,,,
Ext Video - PKPT - Part 32 - Hook - V1 - 20/1,pyaar ka price tag,1 EP,variation,,,,,,,,,
Ext Video - PKPT - Part 32 - Narration - V1 - 20/1,pyaar ka price tag,1 EP,variation,,,,,,,,,
Ext Video - PKPT - Part 32 - Narration - V2 - 20/1,pyaar ka price tag,1 EP,variation,,,,,,,,,
HAK - HOOK- V1- Ep11.mp4,humari adhoori kahani,1 EP,variation,,,,,,,,,
HAK - HOOK- V1- Ep24.mp4,humari adhoori kahani,1 EP,variation,,,,,,,,,
HAK - HOOK- V2- Ep11.mp4,humari adhoori kahani,1 EP,variation,,,,,,,,,
HAK - HOOK- V2- Ep24.mp4,humari adhoori kahani,1 EP,variation,,,,,,,,,
HAK - HOOK- V3- Ep11.mp4,humari adhoori kahani,1 EP,variation,,,,,,,,,
HAK - HOOK- V3- Ep24.mp4,humari adhoori kahani,1 EP,variation,,,,,,,,,
HAK - VO- V1- Ep11,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK - VO- V1- Ep24.mp4,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK - VO- V2- Ep11,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK - VO- V2- Ep24,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK - VO- V3- Ep11,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK - VO- V3- Ep24,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK 11,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK 11 - 29/12,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK 11 - Hook = 29/12,humari adhoori kahani,1 EP,variation,,,,,,,,,
HAK 11 with hook,humari adhoori kahani,1 EP,variation,,,,,,,,,
HAK 24,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK 24 - 29/12,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK 24 - Hook - 29/12,humari adhoori kahani,1 EP,variation,,,,,,,,,
HAK 24 with hook,humari adhoori kahani,1 EP,variation,,,,,,,,,
HAK_1,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_1 – Copy,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_10,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_11,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_12,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_13,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_14,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_15,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_2,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_2 – Copy,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_20,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_21,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_22,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_23,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_24,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_24 b,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_25,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_26,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_27,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_28,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_29,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_3,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_3 – Copy,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_30,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_31,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_32,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_33,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_34,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_35,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_36,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_37,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_38,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_39,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_4,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_4 – Copy,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_40,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_41,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_42,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_43,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_44,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_45,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_46,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_47,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_48,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_49,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_5,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_5 – Copy,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_51,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_52,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_6,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_7,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_8,humari adhoori kahani,1 EP,none,,,,,,,,,
HAK_9,humari adhoori kahani,1 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 10-12.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 11-15.mp4,humari adhoori kahani,5 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 13-15.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 1-5.mp4,humari adhoori kahani,5 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 16-20.mp4,humari adhoori kahani,5 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 19-21.mp4 – Copy,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 21-25.mp4,humari adhoori kahani,5 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 22-24.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 25-27.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 26-30.mp4,humari adhoori kahani,5 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 28-30.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 31-34.mp4,humari adhoori kahani,5 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 31-35.mp4,humari adhoori kahani,5 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 34-36.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 36-40.mp4,humari adhoori kahani,5 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 37-39.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 40-42.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 41-45.mp4,humari adhoori kahani,5 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 43-45.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 4-6.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 46-48.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 46-50.mp4,humari adhoori kahani,5 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 49-51.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 6-10.mp4,humari adhoori kahani,5 EP,none,,,,,,,,,
Humari Adhoori Kahani Ep 7-9.mp4,humari adhoori kahani,3 EP,none,,,,,,,,,
Int Video - DSDT - Part 25 - Hook - V1 - 19/1,dil se dil tak,1 EP,variation,,,,,,,,,
Int Video - DSDT - Part 27 - Hook - V1 - 19/1,dil se dil tak,1 EP,variation,,,,,,,,,
Int Video - DSDT - Part 6 - Hook - V1 - 19/1,dil se dil tak,1 EP,variation,,,,,,,,,
LGRO_1,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_10,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_11,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_12,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_13,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_14,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_15,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_16,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_17 – Copy,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_18 – Copy,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_2,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_3,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_4,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_5,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_6,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_7,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_8,love gone revenge on,1 EP,none,,,,,,,,,
LGRO_9,love gone revenge on,1 EP,none,,,,,,,,,
MBDLF_1,my billion dollar love fund,1 EP,none,,,,,,,,,
MBDLF_10,my billion dollar love fund,1 EP,none,,,,,,,,,
MBDLF_11,my billion dollar love fund,1 EP,none,,,,,,,,,
MBDLF_12,my billion dollar love fund,1 EP,none,,,,,,,,,
MBDLF_13,my billion dollar love fund,1 EP,none,,,,,,,,,
MBDLF_14,my billion dollar love fund,1 EP,none,,,,,,,,,
MBDLF_15,my billion dollar love fund,1 EP,none,,,,,,,,,
MBDLF_16,my billion dollar love fund,1 EP,none,,,,,,,,,
MBDLF_17,my billion dollar love fund,1 EP,none,,,,,,,,,
MBDLF_18,my billion dollar love fund,1 EP,none,,,,,,,,,
MBDLF_2,my billion dollar love fund,1 EP,none,,,,,,,,,
MBDLF_3,my billion dollar love fund,1 EP,none,,,,,,,,,
MBDLF_4,my billion dollar love fund,1 EP,none,,,,,,,,,
